,reviews
14,i write this with so much anger and pain my flight has been delayed for almost the whole day and i have a child i will have to stay at nairobi airport from 8am  10pm just to wait for a transfer least to say previously my luggage was delayed by 2hrs to arrive lost items at the airport i never learnt my lesson this is the last time i will be using kenya airways
15,it is the worst airline 2 hours delay at departure 20 hours layover without the least assistance or consideration of clients i had to wait for my departure from nairobi to douala the 12th december 2023 at 730am after i slept on the chair since 2pm on the 11 december that i arrived in kenya airport just to discover again that my flight is delayed for another 2 hours to douala i will not count the mediocrity of the ground staff at the airport in nairobi that are not even ready to assist travelers it took 3 staff 2 hours to tell me if the agency has some arrangements for me here at the airport because they are busy pressing their mobile phones and answering calls in their native languages i witnessed many clients missed their flights because the ground staff were too too slow in serving them
16,14 hour flight and i genuinely enjoyed my experience from start to finish my flight ran smoothly and on time my luggage was never mishandled the staff were warmkind helpful accommodating and attentive to everybody on board and even paid extra attention to families with young childreninfants the food was great i looked forward to every meal in my experience what makes kenya airways stand out the most is the level of care they provide to their customers the next time i fly to nairobi i am making sure to choose kenya airways
17,flew darnbokgl 25 nov 2023 on embraer 190 got all the nice perks of holding elite status with skyteam checkin in dar was easy and cooperative dar has improved tremendously immigration and security provided quick services good new cip lounge in dar with quality craftdraft beer the kq lounge in nairobi is always a breeze onboard given reserved seats two drink rounds in each of these two short flights i had preordered seafood and given options of crab salad sandwich and salmon sandwich nice indeed fair wines served luggage allowance generous 3 x 23 kg we had 5 suitcases checked in almost 120 kg inscribed without extra charges the cases were arrived perfectly at final destination flights on time transit in nairobi went smooth as well onboard fas were helpful kind and on top of things proactively asking if we needed extra catering or refill ife was simple with individual miniscreens and movie options cant fault anything really seems i am getting a sweet spot for kenya airways tickets inexpensive and was further given flyer miles and tier points instantly towards requalify for my gold card very good value for money
18,kigali via nairobi to dar november 23 2 short regional flights first on a b738 next on embraer 190 benefitted a lot by being a skyteam gold card holder got the best seats and access to lounges in kigali dar nairobi which all are good varied with improved hot food options boarding easy and quick onboard enjoyed special meals preordered and given on both flights an impressive gesture skyteam priority worked to some extend onboard not recognised as elite status holder but cannot complain as we were fairly well pampered call bell was answered if running short 1st flight had serious landing attempts in nairobi before succeeding worst nightmare was a repeated delay on flight nbodar a technical issue reoccurred even on a substituted aircraft instated eventually we took off but upon worries expressed by captain we became forced to return back to nairobi despite we were almost already at dar 150 passengers then had to sit in the aircraft or debark into a bus on the tarmac in nairobi there were no proper announcements no service no toilet access just waiting in limbo for hours some passengers refused to reboard as they lost faith in the airline and aircraft then these passengers luggage had to be offloaded another hour went by the whole night was completely destroyed however at last we took off but only arrived in dar early morning instead of at midnight as scheduled five hours delay is serious and favour direct flights avoiding transits the good thing was that we and luggage as well finally arrived and in one piece for both flights fas and passengers were in general cooperative extrovert and sociable
19,zurichparisnairobijoburg on 1718 sep 23 on two boeing 787800 1st leg operated by their skyteam partner air france boarding issued prior to departure from zurich seamless checkin and transfers onboard food is improving ordered seafood meal and it was accommodated with pleasure and of good taste two meal services provided on the 8 hour flight to nairobi drinks plenty champagne and 4 acceptable wines only 1 beer offered tusker lager which is waterish cheap and useless lost 1 of 2 inscribed bags but it is being recovered kenya airways did not load it from nairobi for the last leg lounge access provided throughout all were good ife and wifi fine not world class but suffice fas are good not patronising passengers flexible and humorous especially the announcements were quite charming and funny transfer in nairobi easy even though disembarking included some walking and bussing good product not overkill but sufficient and less expensive than their competitors love their business class not because it is extravagant but the cabin space their crew and solid food provision is adorable
20,it is truly distressing for such a large company to see a total lack of respect and communication towards customers i dont know if this is the case for other destinations outside the drc kinshasa but the service is really disappointing no luggage received and that without any explanation or apology out of a total of 11 suitcases none arrived and we then have to run after the company to get crumbs of information if the person receiving is willing and in the mood the lack of consideration from customers is really disappointing its sad to see that the pride of africa slogan is only limited to the paint on planes and in advertising spots  il est vraiment désolant pour une compagnie aussi grande de constater un manque total de respect et communication envers les clients je ne sais pas si cest le cas pour dautres destinations en dehors de la rdc kinshasa mais le service est vraiment decevant aucun bagages reçu et ça sans aucune explication ni excuses sur un total de 11 valises aucune nest arrivée et nous devons par la suite courir derrière la compagnie pour avoir des miettes dinformations si la personne qui reçoit est disposé et dhumeur le manque de considération des clients est vraiment decevant cest triste de voir que le slogan de pride of africa ne se limite quà la peinture sur les avions et dans les spots publicitaires
21,dreadful airline  after emailing customer service to say both my wife and i had no entertainment system as both were broken and then no choice of food as they had run out  customer service totally uninterested and not replied had our money and dont care avoid
22,the lady at checkin was very rude and insisted on wanting to check in my colleague on a 4am flight with no alternative accommodation but a mere 200usd and we  rejected the offer as it excluded accommodation she refused to call the manager when we requested her to and brazenly carried on until we confronted her again only after waiting for 55 minutes then my colleagues seat was secured and we went through the boarding gates as if that wasnt enough the departure time was 30min late and no apology was received from the captain to use kenya airways was the biggest blunder on my side ever committed i am a frequent flyer and have never experienced such a distasteful and shabby treatment ever i vow never to use this airline again
23,dismal from start to end not all of the staff and crew were rude some were just sullen and disinterested food was consistently awful drinks were ok the hard product isnt too bad similar to what turkish used to operate ie dated but comfortable enough but everything else was dreadful  checkin lounges boarding etc all service points were very poor nairobi airport was an awful experience all 4 times we had stopovers in both directions expect corruption chaos and disorganisation ill do all i can to avoid kenya airways in future
24,airline was 1 hour late to board passengers and to 1 hour late to depart without any explanation food was horrible and to make matters worse they lost the entire passengers luggage without any explanation the swiss port employee who was left to deal with the passengers had no clue what was going on and all he could do was give us forms to fill out all perishable items that i carried will now be trashed since the man said the earliest we could get our bags is wednesday 824 a passenger on the same flight who had air tagged her luggage indicated that the bag was still at jkia last month they also lost my husbands luggage and when they tracked it it was discovered to be at the delta baggage office still in new york instead of kenya 4 days later when it was delivered they did not even bother to refund us
25,kenya airways has really disappointed me for a second time its never on time it appears 30_40 minutes late am supposed to be setting off to uganda from kenya but the plane is not even here same applies from dubai we left 26 minutes late that was even before we boarded
26,jnbnboamszrh on 1415 august 23 flights on time despite being quite full good announcements check in on transfer desk in joburg all 3 bps issued on spot kenya now uses the south african airlines lounge which is very high class lounge with sleepers and a very diverse buffet with high quality foods the long haul flights were both on boeing 7879 business class is wonderfully furnished spacious in 2x2x2 configuration which is perfect low chair fenders allow you to overlook entire cabin when seated upright very ample leg space in the lieflats spent night in pride lounge nairobi preordered hot seafood meals were provided thrice on the two flights all different variants and tasty takeoff champagne given not the most sublime business class catering in the skies food in general is not extraordinary apart from the preorder options no beer choices only the watery national tusker lager offered meals robust and reliable preordered meal managed well fas active and smiley though not well coordinated despite being many ife is acceptable though narrow choices on movies nice beds with mattresses and pillows 2 blankets per seat will fly again with kq klms 52 lounge in amsterdam is huge and good they printed out coming boarding passes for me amsterdamzurich on embraer 190 aircraft operated by klm well synchronised with kenya airways and under their flight number flight full delayed ½ hour due to complicated tedious loading of two giant dogs a serious unnecessary delay causing delay for 200 people catering was surprisingly good menu card nice large food box with 3 course meal including my favoured seafood meal champagne 4 wines and lots of hot and soft drinks offered swift service seats are just economy seats but i was given 2 seats in front row and cant complain
27,officially the worlds worst airline 3hr  delay from sa to burundi and coming home they call you to board and then tell you your flight is delayed by 2hrs no compensation rude cheeky staff with no customer service they try to push the blame to customers and have a serious attitude issue everything about the airline is so disappointing from the aircraft to the meals to the staff to the compensation been on the airport for more than 10hrs no empathy for ppl they tell you to book a hotel at your own expense and they cant even accommodate ppl in lounges pathetic stay away from this airline
28,the worst service i have ever encountered in airline my fiancé missed her flight 4 times due to overbooking of airline airport workers keep on sending her back home saying that the airplane is full i wonder how if you can treat your staff like that how can you put up to 7 passengers waiting for more than 4 days or why would you issue staff tickets yet you know the plane is full 30 minutes before the gates closes the we can see that you can even issue tickets the flight has up to 10 seats free and still you decide not to give your staff a seat i do not ever recommend anyone to use kenya airways
29,do not use kenya airways this was the worst decision ive ever made i had two flights one from mombasa to nairobi which was delayed 4 hours so i almost missed my second flight home to london then i got there and they delayed it by an hour meaning it was 1255pm then they told us they were delaying it till the next day at midday the organisation was appalling got to a hotel room at 4am which wasnt cleaned at all and they didnt even give me a key card for my hotel room the flight then also got delayed another 2 hours the next day
30,i had the worst experience with them i cant even explain my frustration the night of my departure they told us 2 hours delay then another 3 hours then they said you know what its cancelled they booked me another flight the next day i reached to dubai and the next flight was already gone by then
31,we travelled from mauritius to south africa with a connection flight in nairobi in mauritius weve checked in all 3 of our bags at the same time upon arrival in johannesburg south africa we were informed that my sons bag stayed behind in mauritius theyve done a tracking on the barcode and informed us that the bag never arrived in nairobi either how can you just leave the bag behind pathetic service
32,"
we had flown in from dubai to nairobi on business class and it was good hence on our way back i decided to upgrade and fly business class expecting the same it was the biggest mistake in my life the so called business class was just close to the premium economy of most other airlines seats had some push back and thats it the leg extender was stuck and wont extend cabin crew said they were helpless  they didnt even try to see if it can be worked i had to spend the entire flight sitting upright cos without the leg extender to support i was slipping down if i reclined the seat horrible experience and to top it all there event wasnt a tv on the 5 hour 20 minute flight cabin crew said that this aircraft only has so much facility and they were looking at each other and smiling when they heard that i actually upgraded to business class i would like to know how i can claim a refund where and how can i escalate this matter to i sent a dm on twitter to the airline which they havent responded such daylight robbery must not be permitted this isnt the upgrade we pay for i am going to share my horrible experience on all social media channels interestingly i have not received any survey about my flight experience which they promptly send never flying kenya airways again"
33,one of the worst airlines i travelled on kq765 delayed out of jhb with no reason given only left at 0230 on sunday morning 25 june in stead of 0115 missed our connection flight out of nairobi to zanzibar ground staff made us wait for 3 hours before we got any assistance in nairobi eventually got a precision flight to zanzibar after we had to fight the staff for seats we were assured that the flight will have our baggage on it as it was scheduled to leave 3 hours after we got our seats when we arrived in zanzibar we had no baggage and the ground staff was rude saying it was not their fault we did not have our baggage and that it would be at the zanzibar airport on sunday evening with the next flight and if we want it we can come fetch it then we where on honeymoon and our hotel is 1 hour 20min away from the airport as we booked a all inclusive package which included our transfer to and from the hotel we had no means to get back to the airport to collect our bags we requested that they please deliver the bags to the hotel ground staff said they can only deliver on monday morning when we asked for compensation to get some necessities like toothbrush and clean clothes as we had no clothes or toiletries and had a dinner reservation for sunday evening we were told it is not their problem nor their fault our baggage did not arrive and they rushed us out of their office needless to say we did not receive our baggage that evening monday morning 26 june i phoned the lost baggage office and was told the delivery will only start work at around 1000 and would need to make a few stops before he gets to us we ended up getting our baggage at 1500 monday afternoon missing the whole sunday and most of monday of our vacation because of having no clothes
34,where near does this airline come to being called the pride of africa it has made us as kenyans embarrassed the flight itself delayed for over 4 hours with no valid explanation nor any compensations no regrets no apologies the cabin crew are probably the rudest youll ever come across as if they are doing you a favor no courtesy and concerns for the three infants and 1 elderly i was traveling with on the contrary we were begging for the very basics and still not provided like infant food inspire of prearranged meals non of my infants got the baby meals the aircraft they are using is not for long distance international flights as the seats are extremely compact and zero legroom we came out of the flight tired and exhausted as if we had been in war ground crew at both the airports equally the same and no sense of responsibility check in experience 15 hours just to check in my family of 5 adults and 3 babies how in the world can you explain this cabin smells stale from previous flight and nothing fresh this is the worst airline ive ever travelled in
35,ver use this airline original flight had a 2 hour layover it was canceled and the new flight had a 8 hour layover nowhere comfortable to sit as the dont give you access to the pride lounge but only a food voucher with no food selection but a set meal staff have a terrible attitude and not bothered to help i will never use this kenya airways again
36,the flight on return journey was excellent a sumptuous fish menu provided on my return yesterday staff are caring and lovely to talk to i watched a cookery show and learnt a recipe on flight also a construction show though took it off half way due to the swearing there wasnt much to watch for me but i left happy learning a potato recipe from south africa a bit of a delay in nairobi for an hour but as i was on holiday it didnt spoil any plans i spoke to a lady going to usa and she was given accommodation for missing connecting flight so not so bad my issue seems mild but one that all schools are aware of in london we had a nut snack and i did hope that those with nut allergies where considered at my childrens 3 schools we simply remove nuts from children packed lunch or school dinners and from view as some people get very bad allergies maybe it was the type of nuts served but i was surprised to see nuts on the menu
37,my family of 4 people had booked to fly from glasgow to nairobi thru amsterdam on 26 th june 2023 as they were preparing to fly they received a message that the flight from glasgow to amsterdam is cancelled thus the rebooking is done for 2 people on 26 th and the other 2 on 27 th june that would have messed all our onward plans as today is a sunday we never got any response from the agent in scotland who booked the tickets as a last resort with a prejudiced mind that i am just gambling i called kenya airways number the response i received was absolutely amazing we got rebooking from edinburgh to amsterdam to reach nairobi as planned earlier i am really thankful
38,i had booked a return flight from copenhagen to mombasa and back unfortunately i missed my connecting flight going to mombasa i booked another flight to mombasa and i immediately contacted kenya airways customer support to find a solution for my return flight i wrote and called them for a week before i heard back from kenya airways fortunately the reply was in writing that my return ticket was confirmed when i went to mombasa airport to fly back they could not find my ticket i showed them the email with the confirmation and the kenya airways lady in mombasa agreed that it said my ticket was confirmed head office refused to let me onboard unless i purchased a new ticket i did so to come home to my family and i was advised to contact customer service when i got back to get my money back then followed several months where i have been writing with kenya airways customer support all sort of excuses came up claiming i had the wrong visa to me being a student and other lies finally they concluded that in reality i had not purchased a new ticket instead i had paid a penalty fee for missing my original flight i then provided kenya airways with a copy of my receipt from mombasa airport that clearly states that i had to my a new ticket since then kenya airways have ignored my emails i am really shocked how kenya airways has tried to avoid taking responsibility and done so by lying bullying and inventing stories to make me drop my claim i followed every procedure the moment i missed my plane and i truly trusted and believed kenya airways when they wrote me that my ticket was confirmed the lesson learned is apparently that you cannot trust kenya airways
39,i have been flying with kenya airways for the past 6 years experienced a delay once which was okay but i had the worst experience in may where both trips were a disappointment first on the 14th may my departure was delayed from 6am to 4pm no apologies nothing they kept on rescheduling the flight without proper communication we late boarded emirates to nairobi again it took us hours to board from nairobi to mombasa i was supposed to arrive at mombasa 11am on the 14th sunday but we arrived 2am on the 15th mondayworst scenario was on 28th may my flight was scheduled at 845pm to nairobi then connecting flight at 1145pmi arrived on time waited on the queue reaching the counter am told my flight was rescheduled to 7pm on the screen i could see clearly my flight displayed at 845pmseriously  without even sending a notification remember while booking phone number and email address is always part of the reservation details the staff showed no remorse and asked me to check with reservation team i walked politely to kq office i was so shocked when the reservation agent told me that my ticket is not valid that its just a paper  so from changing the time to my ticket being void this was the worst respond ever kenya airways staff lie a lot he even told me that they tried to send a notification of which he wasnt sure after insisting for a whole one hour a supervisor later checked me in and i boarded the 845pm flight they booked me a hotel in nairobi and i had to board my flight at 5pmi missed my reporting day at work it was my last time boarding kenya airways such a shame
40,at a time when many airlines are improving their product kenya airways appears to be going in the opposite direction getting onto the aircraft in nairobi was chaotic with no priority given to business passengers  for the airline sky priority means nothing from the boarding gate we then went on a long bus journey around the airport before returning to part of the terminal to climb up stairs to get onto the aircraft although the cabin crew were very pleasant and offered a preflight drink champagne water or apple juice no more drinks were served until after the meal arrived this was a total disappointment with my beef option consisting of two small pieces of beef some sauce and a mini samosa it was complemented with a glass of wine in a thimblesized glass which was only refilled when we asked the crew one of the mysteries of the flight was why the lavatory at the front of the aircraft permanently had an engaged light on when we asked we were told that the captain had said that it was reserved for the crew and passengers could not use it another mystery was a man who spent the entire flight sat on the crew jumpseat in the middle of the business section i asked him what he was doing and he explained that the crew could not find me anywhere to sit given that airlines flying into the uk have a legal obligation to provide advance passenger information 24hours before arrival it would be interesting to know how this requirement was met although the aircraft was clean and the flight was smooth kenya airways 787 are let down by their oldstyle sidebyside seating which was worn and in some cases not functioning properly the fact that the flight was full suggests that the airline has no problem selling tickets and therefore little incentive to improve its product
41,his is a bad airline i travelled with kenya airways on the 20th of may 2023 and now is the 26 may 2023 and l havent received my bag i was told the bags were left in kenya i have made several phone calls to zimbabwe and also here l have visited their office in dubai they are not giving mey bag this is my last time to travel with kenya airways
42,missed outward leg of a return flight due to issue with ka website accepted loss here though honestly feel website more than 50 responsible problem was return leg automatically cancelled engaged from two weeks before flight with what is inexplicably called customer support and still had to pay again at the last minute to get a flight back to nairobi total loss considerably more than the original return flight total sent at least 8 messages to customer support initial replies reassuring and seemed to offer resolution but nothing happened reassurances turned out to be misleading and the information i needed was never offered customer service agents while courteous and polite seem to assume that customers will have an understanding of the rules and practices of the dystopian ka universe no useful information is provided it also appears that agents do not have the authority to actually resolve anything therefore they do not really engage with an issue but dole out meaningless bland reassurances to get a flight it required a very long and expensive phone call with an agent who had to constantly refer to a supervisor thankfully there are alternatives to ka both externally and internally
43,y good flight excellent crew on board as was the food and drink my only gripe is the business class seats could do with an update but they are comfortable none the less
44,kigali  nairobi  entebbe return 2627 march 2023 aircraft were narrowbodies the first flight was on a b737 while the three remaining flights were on e190s all four shorthaul flights were on time this was a mileage run to retain my flying blue gold status as it otherwise was going to expire by end of the month i was at first travel attempt denied boarding and my ticket was suspended by a junior staff in kigali they said upon liaising with immigration i airport that my reason to travel was not valid i tried to change purpose but the damage was done which forced me to postpone the entire trip however later i had the ticket reissued by kq town office in kigali who were professional and committed to help without any payments as it was not a no show case they even took over the booking from my travel agent which was effective and great relief avoiding potential additional costs i even got a much better and more expensive itinerary avoiding nightflights though extending my transit lounge stays while the junior kq staff in airport should be sacked for denying me boarding the kq staff at town office should be praised and rewarded for constructive and expedite provision of resolutions and quick ticket reissue by ignoring and avoiding the ota the rescheduled trip went fine in all aspects lounge access accommodated prior to all 4 flights and the lounges are all of good and solid quality slept fine in pride lounge in nairobi where i spent an eve and a night effective boardingsdeboardings by either bus on foot or by jetbridge onboard welcome champagne available on all four flights i had prebooked seat 1a which was given me throughout i preordered my favorite seafood meals which were delivered and tasty the sole exception was a morning flight where they could not manage my seafood despite it appeared in their flight manuscript not a big issue but they apologised kq always manage special meals effectively this is really a perk that not even legacy carriers like qatar airways or klm allows for the crews on all flights were fine professional caring and in good mood the food is getting better on these regional flights and i had my tasty hot minimeals served throughout hot towels provided nut mix were provided as snacks provided to assist on drinks which were served several times the challenge of my trip was the seemingly unusual turnaround in ebb to which airport staff were confused as i instantly returned to my origin without going landside they allowed me not to buy a transit visa and escorted me to transfer security and thereafter negotiated excessive spending time in lounge for me  i was granted full access for 7 hours though the airline agreement was only 3 hours onboard no ife and no wifi which is fine for short flights no luggagebaggage issues flying blue status respected and some skypriority entitlements were given eg priority boarding recommended will fly them again would have given 1010 but have to deduct a bit for denied boarding initially by the junior incompetent staff member in kigali airport
